current_year,affiliation,timing,plot_id,count,missing,status (pth 12.8.25),,canopy height (cm),,,status (pth 12.8.25),notes
2025,AL01,1,AUOatPea402.1,4,biomass,added biomass,,,,,"find image, not on tablet but taken","these are images that were taken, have biomass weights but can not be found, need to look some more"
2025,AL01,1,AUOatPea403.1,4,biomass,added biomass,,,,,2025-07-15_T3_2.1,"resercher images were used for this timepoint, canopy  / quadrat height is listed"
2025,AL01,1,AUOatPea404.1,4,biomass,added biomass,,,,,added biomass,"added biomass to google sheet, used ""Update 12.4.25"" as affiliation"
2025,AL01,1,AUOatPea405.1,4,biomass,remove,,,,,remove,these are tests or missfires that can be omited
2025,AL01,1,AUOatPea406.3,4,biomass,remove,,,,,"used biomass, remove","I used the biomass weights for ""added biomass"" and these can be omited"
2025,AL01,1,AUOatPea418.2,4,biomass,added biomass,,,,,good,all good keep as is
2025,AL01,1,AUOatPea402.3,2,image,"used biomass, remove",,,,,,
2025,AL01,1,AUOatPea403.2,1,image,"used biomass, remove",,,,,,
2025,AL01,1,AUOatPea404.3,1,image,"used biomass, remove",,,,,,
2025,AL01,1,AUOatPea417.3,1,image,"used biomass, remove",,,,,,
2025,AL01,1,AUOatPea401.1,4,complete,good,,,,,,
2025,AL01,1,AUOatPea405.3,8,complete,good,,,,,,
2025,AL01,1,AUOatPea406.2,8,complete,good,,,,,,
2025,AL01,1,AUOatPea407.1,8,complete,good,,,,,,
2025,AL01,1,AUOatPea408.1,4,complete,good,,,,,,
2025,AL01,1,AUOatPea409.2,8,complete,good,,,,,,
2025,AL01,1,AUOatPea410.1,8,complete,good,,,,,,
2025,AL01,1,AUOatPea411.3,4,complete,good,,,,,,
2025,AL01,1,AUOatPea412.2,4,complete,good,,,,,,
2025,AL01,1,AUOatPea413.3,8,complete,good,,,,,,
2025,AL01,1,AUOatPea414.3,8,complete,good,,,,,,
2025,AL01,1,AUOatPea415.2,4,complete,good,,,,,,
2025,AL01,1,AUOatPea416.2,4,complete,good,,,,,,
2025,AL01,1,AUOatPea417.1,8,complete,good,,,,,,
2025,AL01,1,AUOatPea419.1,8,complete,good,,,,,,
2025,AL01,1,AUOatPea420.3,4,complete,good,,,,,,
2025,AL01,2,20EXTRAPLOTS_401.2,1,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_402.2,2,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_403.1,1,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_404.2,1,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_405.2,2,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_406.1,2,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_407.3,2,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_408.2,1,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_409.1,2,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_410.2,2,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_411.1,1,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_412.1,1,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_413.2,2,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_414.1,2,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_415.3,1,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_416.1,1,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_417.2,2,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_418.3,1,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_419.2,2,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_420.2,1,image,"find image, not on tablet but taken",,,,,,
2025,IA01,1,1.2,4,complete,good,,,,,,
2025,IA01,1,10.1,8,complete,good,,,,,,
2025,IA01,1,11.2,8,complete,good,,,,,,
2025,IA01,1,12.3,4,complete,good,,,,,,
2025,IA01,1,13.1,4,complete,good,,,,,,
2025,IA01,1,14.1,8,complete,good,,,,,,
2025,IA01,1,15.1,4,complete,good,,,,,,
2025,IA01,1,16.1,8,complete,good,,,,,,
2025,IA01,1,17.2,4,complete,good,,,,,,
2025,IA01,1,18.2,8,complete,good,,,,,,
2025,IA01,1,19.1,4,complete,good,,,,,,
2025,IA01,1,2.1,8,complete,good,,,,,,
2025,IA01,1,20.1,8,complete,good,,,,,,
2025,IA01,1,3.1,4,complete,good,,,,,,
2025,IA01,1,4.2,4,complete,good,,,,,,
2025,IA01,1,5.3,8,complete,good,,,,,,
2025,IA01,1,6.1,8,complete,good,,,,,,
2025,IA01,1,7.3,4,complete,good,,,,,,
2025,IA01,1,8.2,8,complete,good,,,,,,
2025,IA01,1,9.2,4,complete,good,,,,,,
2025,IA01,2,1.3,1,image,"find image, not on tablet but taken",,,,,,
2025,IA01,2,10.2,8,complete,good,,,,,,
2025,IA01,2,11.3,8,complete,good,,,,,,
2025,IA01,2,12.1,4,complete,good,,,,,,
2025,IA01,2,13.2,4,complete,good,,,,,,
2025,IA01,2,14.3,8,complete,good,,,,,,
2025,IA01,2,15.3,4,complete,good,,,,,,
2025,IA01,2,16.3,8,complete,good,,,,,,
2025,IA01,2,17.3,4,complete,good,,,,,,
2025,IA01,2,18.1,8,complete,good,,,,,,
2025,IA01,2,19.3,4,complete,good,,,,,,
2025,IA01,2,2.3,8,complete,good,,,,,,
2025,IA01,2,20.3,8,complete,good,,,,,,
2025,IA01,2,3.3,4,complete,good,,,,,,
2025,IA01,2,4.1,4,complete,good,,,,,,
2025,IA01,2,5.1,8,complete,good,,,,,,
2025,IA01,2,6.3,8,complete,good,,,,,,
2025,IA01,2,7.1,4,complete,good,,,,,,
2025,IA01,2,8.3,8,complete,good,,,,,,
2025,IA01,2,9.1,4,complete,good,,,,,,
2025,IA01,3,1.1,4,complete,good,,,,,,
2025,IA01,3,10.3,8,complete,good,,,,,,
2025,IA01,3,11.1,8,complete,good,,,,,,
2025,IA01,3,12.2,4,complete,good,,,,,,
2025,IA01,3,13.3,4,complete,good,,,,,,
2025,IA01,3,14.2,8,complete,good,,,,,,
2025,IA01,3,15.2,4,complete,good,,,,,,
2025,IA01,3,16.2,8,complete,good,,,,,,
2025,IA01,3,17.1,4,complete,good,,,,,,
2025,IA01,3,18.3,8,complete,good,,,,,,
2025,IA01,3,19.2,4,complete,good,,,,,,
2025,IA01,3,2.2,8,complete,good,,,,,,
2025,IA01,3,20.2,8,complete,good,,,,,,
2025,IA01,3,3.2,4,complete,good,,,,,,
2025,IA01,3,4.3,4,complete,good,,,,,,
2025,IA01,3,5.2,8,complete,good,,,,,,
2025,IA01,3,6.2,8,complete,good,,,,,,
2025,IA01,3,7.2,4,complete,good,,,,,,
2025,IA01,3,8.1,8,complete,good,,,,,,
2025,IA01,3,9.3,4,complete,good,,,,,,
2025,IL02,1,1.1001.2,4,complete,good,,,,,,
2025,IL02,1,1.1002.3,8,complete,good,,,,,,
2025,IL02,1,1.101.1,8,complete,good,,,,,,
2025,IL02,1,1.102.1,4,complete,good,,,,,,
2025,IL02,1,1.201.2,8,complete,good,,,,,,
2025,IL02,1,1.202.1,4,complete,good,,,,,,
2025,IL02,1,1.301.2,8,complete,good,,,,,,
2025,IL02,1,1.302.2,4,complete,good,,,,,,
2025,IL02,1,1.401.2,4,complete,good,,,,,,
2025,IL02,1,1.402.2,4,complete,good,,,,,,
2025,IL02,1,1.501.2,8,complete,good,,,,,,
2025,IL02,1,1.502.1,8,complete,good,,,,,,
2025,IL02,1,1.601.1,8,complete,good,,,,,,
2025,IL02,1,1.602.1,8,complete,good,,,,,,
2025,IL02,1,1.701.3,8,complete,good,,,,,,
2025,IL02,1,1.702.3,4,complete,good,,,,,,
2025,IL02,1,1.801.2,4,complete,good,,,,,,
2025,IL02,1,1.802.1,4,complete,good,,,,,,
2025,IL02,1,1.901.1,8,complete,good,,,,,,
2025,IL02,1,1.902.2,4,complete,good,,,,,,
2025,IL02,2,2.1001.1,4,complete,good,,,,,,
2025,IL02,2,2.1002.1,8,complete,good,,,,,,
2025,IL02,2,2.101.2,8,complete,good,,,,,,
2025,IL02,2,2.102.3,4,complete,good,,,,,,
2025,IL02,2,2.201.3,8,complete,good,,,,,,
2025,IL02,2,2.202.3,4,complete,good,,,,,,
2025,IL02,2,2.301.1,8,complete,good,,,,,,
2025,IL02,2,2.302.3,4,complete,good,,,,,,
2025,IL02,2,2.401.1,4,complete,good,,,,,,
2025,IL02,2,2.402.1,4,complete,good,,,,,,
2025,IL02,2,2.501.3,8,complete,good,,,,,,
2025,IL02,2,2.502.2,8,complete,good,,,,,,
2025,IL02,2,2.601.2,8,complete,good,,,,,,
2025,IL02,2,2.602.2,8,complete,good,,,,,,
2025,IL02,2,2.701.1,8,complete,good,,,,,,
2025,IL02,2,2.702.2,4,complete,good,,,,,,
2025,IL02,2,2.801.1,4,complete,good,,,,,,
2025,IL02,2,2.802.2,4,complete,good,,,,,,
2025,IL02,2,2.901.2,8,complete,good,,,,,,
2025,IL02,2,2.902.3,4,complete,good,,,,,,
2025,IL02,3,3.1001.3,4,complete,good,,,,,,
2025,IL02,3,3.1002.2,8,complete,good,,,,,,
2025,IL02,3,3.101.3,8,complete,good,,,,,,
2025,IL02,3,3.102.2,4,complete,good,,,,,,
2025,IL02,3,3.201.1,8,complete,good,,,,,,
2025,IL02,3,3.202.2,4,complete,good,,,,,,
2025,IL02,3,3.301.3,8,complete,good,,,,,,
2025,IL02,3,3.302.1,4,complete,good,,,,,,
2025,IL02,3,3.401.3,4,complete,good,,,,,,
2025,IL02,3,3.402.3,4,complete,good,,,,,,
2025,IL02,3,3.501.1,8,complete,good,,,,,,
2025,IL02,3,3.502.3,8,complete,good,,,,,,
2025,IL02,3,3.601.3,8,complete,good,,,,,,
2025,IL02,3,3.602.3,8,complete,good,,,,,,
2025,IL02,3,3.701.2,8,complete,good,,,,,,
2025,IL02,3,3.702.1,4,complete,good,,,,,,
2025,IL02,3,3.801.3,4,complete,good,,,,,,
2025,IL02,3,3.802.3,4,complete,good,,,,,,
2025,IL02,3,3.901.3,8,complete,good,,,,,,
2025,IL02,3,3.902.1,4,complete,good,,,,,,
2025,ND02,1,1.2,2,image,"find image, not on tablet but taken",,,,,,
2025,ND02,1,10.3,2,image,"find image, not on tablet but taken",,,,,,
2025,ND02,1,11.2,2,image,"find image, not on tablet but taken",,,,,,
2025,ND02,1,12.2,3,image,"find image, not on tablet but taken",,,,,,
2025,ND02,1,13.2,2,image,"find image, not on tablet but taken",,,,,,
2025,ND02,1,14.2,3,image,"find image, not on tablet but taken",,,,,,
2025,ND02,1,15.1,2,image,"find image, not on tablet but taken",,,,,,
2025,ND02,1,16.2,3,image,"find image, not on tablet but taken",,,,,,
2025,ND02,1,17.2,2,image,"find image, not on tablet but taken",,,,,,
2025,ND02,1,18.2,3,image,"find image, not on tablet but taken",,,,,,
2025,ND02,1,19.2,2,image,"find image, not on tablet but taken",,,,,,
2025,ND02,1,2.2,3,image,"find image, not on tablet but taken",,,,,,
2025,ND02,1,20.2,3,image,"find image, not on tablet but taken",,,,,,
2025,ND02,1,3.2,2,image,"find image, not on tablet but taken",,,,,,
2025,ND02,1,4.3,3,image,"find image, not on tablet but taken",,,,,,
2025,ND02,1,5.1,2,image,"find image, not on tablet but taken",,,,,,
2025,ND02,1,6.2,3,image,"find image, not on tablet but taken",,,,,,
2025,ND02,1,7.3,2,image,"find image, not on tablet but taken",,,,,,
2025,ND02,1,8.1,3,image,"find image, not on tablet but taken",,,,,,
2025,ND02,1,9.1,1,image,"find image, not on tablet but taken",,,,,,
2025,ND02,2,1.1,2,image,remove,timepoint 2 biomass collection,,,,,
2025,ND02,2,10.2,2,image,remove,timepoint 2 biomass collection,,,,,
2025,ND02,2,11.1,2,image,remove,timepoint 2 biomass collection,,,,,
2025,ND02,2,12.1,3,image,remove,timepoint 2 biomass collection,,,,,
2025,ND02,2,13.1,2,image,remove,timepoint 2 biomass collection,,,,,
2025,ND02,2,14.1,3,image,remove,timepoint 2 biomass collection,,,,,
2025,ND02,2,15.3,1,image,remove,timepoint 2 biomass collection,,,,,
2025,ND02,2,16.1,3,image,remove,timepoint 2 biomass collection,,,,,
2025,ND02,2,17.3,2,image,remove,timepoint 2 biomass collection,,,,,
2025,ND02,2,18.3,3,image,remove,timepoint 2 biomass collection,,,,,
2025,ND02,2,19.1,2,image,remove,timepoint 2 biomass collection,,,,,
2025,ND02,2,2.3,3,image,remove,timepoint 2 biomass collection,,,,,
2025,ND02,2,20.1,3,image,remove,timepoint 2 biomass collection,,,,,
2025,ND02,2,3.1,2,image,remove,timepoint 2 biomass collection,,,,,
2025,ND02,2,4.1,3,image,remove,timepoint 2 biomass collection,,,,,
2025,ND02,2,5.3,2,image,remove,timepoint 2 biomass collection,,,,,
2025,ND02,2,6.3,3,image,remove,timepoint 2 biomass collection,,,,,
2025,ND02,2,7.1,2,image,remove,timepoint 2 biomass collection,,,,,
2025,ND02,2,8.2,2,image,remove,timepoint 2 biomass collection,,,,,
2025,ND02,2,9.2,1,image,remove,timepoint 2 biomass collection,,,,,
2025,ND02,3,1.1,4,biomass,added biomass,,,,,,
2025,ND02,3,10.2,4,biomass,added biomass,,,,,,
2025,ND02,3,11.1,4,biomass,added biomass,,,,,,
2025,ND02,3,12.1,4,biomass,added biomass,,,,,,
2025,ND02,3,13.1,4,biomass,added biomass,,,,,,
2025,ND02,3,14.1,4,biomass,added biomass,,,,,,
2025,ND02,3,15.3,4,biomass,added biomass,,,,,,
2025,ND02,3,16.1,4,biomass,added biomass,,,,,,
2025,ND02,3,17.3,4,biomass,added biomass,,,,,,
2025,ND02,3,18.3,4,biomass,added biomass,,,,,,
2025,ND02,3,2.3,4,biomass,added biomass,,,,,,
2025,ND02,3,20.1,4,biomass,added biomass,,,,,,
2025,ND02,3,3.1,4,biomass,added biomass,,,,,,
2025,ND02,3,4.1,4,biomass,added biomass,,,,,,
2025,ND02,3,5.3,8,biomass,added biomass,,,,,,
2025,ND02,3,6.3,8,biomass,added biomass,,,,,,
2025,ND02,3,7.1,4,biomass,added biomass,,,,,,
2025,ND02,3,8.2,4,biomass,added biomass,,,,,,
2025,ND02,3,9.2,4,biomass,added biomass,,,,,,
2025,NY02,1,19.2,4,biomass,remove,,,,,,
2025,NY02,1,741874,4,biomass,added biomass,,,,,,
2025,NY02,1,741879,4,biomass,added biomass,,,,,,
2025,NY02,1,741902,4,biomass,added biomass,,,,,,
2025,NY02,1,741858,4,complete,good,,,,,,
2025,NY02,1,741861,12,complete,good,,,,,,
2025,NY02,1,741863,12,complete,good,,,,,,
2025,NY02,1,741865,12,complete,good,,,,,,
2025,NY02,1,741870,8,complete,good,,,,,,
2025,NY02,1,741873,8,complete,good,,,,,,
2025,NY02,1,741881,16,complete,good,,,,,,
2025,NY02,1,741885,8,complete,good,,,,,,
2025,NY02,1,741886,8,complete,good,,,,,,
2025,NY02,1,741891,8,complete,good,,,,,,
2025,NY02,1,741894,12,complete,good,,,,,,
2025,NY02,1,741895,8,complete,good,,,,,,
2025,NY02,1,741898,8,complete,good,,,,,,
2025,NY02,1,741905,16,complete,good,,,,,,
2025,NY02,1,741908,8,complete,good,,,,,,
2025,NY02,1,741910,8,complete,good,,,,,,
2025,NY02,1,741915,8,complete,good,,,,,,
2025,NY02,1,741875,1,image,"used biomass, remove",,,,,,
2025,NY02,1,741877,3,image,"used biomass, remove",,,,,,
2025,NY02,1,741901,3,image,"used biomass, remove",,,,,,
2025,NY02,1,CU_ARS_2026_WOP_031_subplot_1,4,biomass,added biomass,,,,,,
2025,NY02,1,CU_ARS_2026_WOP_049_subplot_3,4,biomass,added biomass,,,,,,
2025,NY02,1,CU_ARS_2026_WOP_062_subplot_2,4,biomass,added biomass,,,,,,
2025,NY02,1,CU_ARS_2026_WOP_090_subplot_3,4,biomass,added biomass,,,,,,
2025,NY02,1,CU_ARS_2026_WOP_107_subplot_3,4,biomass,added biomass,,,,,,
2025,NY02,1,CU_ARS_2026_WOP_159_subplot_2,4,biomass,added biomass,,,,,,
2025,NY02,1,CU_ARS_2026_WOP_190_subplot_3,4,biomass,added biomass,,,,,,
2025,NY02,1,CU_ARS_2026_WOP_196_subplot_3,4,biomass,added biomass,,,,,,
2025,NY02,1,CU_ARS_2026_WOP_205_subplot_1,4,biomass,added biomass,,,,,,
2025,NY02,1,CU_ARS_2026_WOP_208_subplot_2,4,biomass,added biomass,,,,,,
2025,NY02,1,CU_ARS_2026_WOP_220_subplot_2,4,biomass,added biomass,,,,,,
2025,NY02,1,CU_ARS_2026_WOP_281_subplot_2,4,biomass,added biomass,,,,,,
2025,NY02,1,CU_ARS_2026_WOP_284_subplot_3,4,biomass,added biomass,,,,,,
2025,NY02,1,CU_ARS_2026_WOP_298_subplot_2,4,biomass,added biomass,,,,,,
2025,NY02,1,CU_ARS_2026_WOP_305_subplot_3,4,biomass,added biomass,,,,,,
2025,NY02,1,CU_ARS_2026_WOP_323_subplot_3,4,biomass,added biomass,,,,,,
2025,NY02,1,CU_ARS_2026_WOP_324_subplot_2,4,biomass,added biomass,,,,,,
2025,NY02,1,CU_ARS_2026_WOP_343_subplot_3,4,biomass,added biomass,,,,,,
2025,NY02,1,CU_ARS_2026_WOP_344_subplot_2,4,biomass,added biomass,,,,,,
2025,NY02,1,CU_ARS_2026_WOP_369_subplot_2,4,biomass,added biomass,,,,,,
2025,NY02,1,CU_ARS_2026_WOP_381_subplot_2,4,biomass,added biomass,,,,,,
2025,NY02,1,CU_ARS_2026_WOP_388_subplot_2,4,biomass,added biomass,,,,,,
2025,NY02,1,TEST,4,biomass,remove,,,,,,
2025,NY02,1,TEST1,4,biomass,remove,,,,,,
2025,NY02,1,TEST2,4,biomass,remove,,,,,,
2025,NY02,1,test1,4,biomass,remove,,,,,,
2025,NY02,1,test10,4,biomass,remove,,,,,,
2025,NY02,1,test2,4,biomass,remove,,,,,,
2025,NY02,1,test3,4,biomass,remove,,,,,,
2025,NY02,1,test4,4,biomass,remove,,,,,,
2025,NY02,1,test5,4,biomass,remove,,,,,,
2025,NY02,1,test6,4,biomass,remove,,,,,,
2025,NY02,1,test7,4,biomass,remove,,,,,,
2025,NY02,1,test8,4,biomass,remove,,,,,,
2025,NY02,1,test9,4,biomass,remove,,,,,,
2025,NY02,2,741889,4,biomass,added biomass,,,,,,
2025,NY02,2,741856,4,complete,good,,,,,,
2025,NY02,2,741864,12,complete,good,,,,,,
2025,NY02,2,741866,12,complete,good,,,,,,
2025,NY02,2,741869,8,complete,good,,,,,,
2025,NY02,2,741871,8,complete,good,,,,,,
2025,NY02,2,741876,8,complete,good,,,,,,
2025,NY02,2,741879,12,complete,good,,,,,,
2025,NY02,2,741882,12,complete,good,,,,,,
2025,NY02,2,741883,8,complete,good,,,,,,
2025,NY02,2,741888,8,complete,good,,,,,,
2025,NY02,2,741893,12,complete,good,,,,,,
2025,NY02,2,741896,8,complete,good,,,,,,
2025,NY02,2,741899,8,complete,good,,,,,,
2025,NY02,2,741903,12,complete,good,,,,,,
2025,NY02,2,741904,12,complete,good,,,,,,
2025,NY02,2,741909,8,complete,good,,,,,,
2025,NY02,2,741911,8,complete,good,,,,,,
2025,NY02,2,741914,12,complete,good,,,,,,
2025,NY02,2,741860,3,image,"find image, not on tablet but taken",,,,,,
2025,NY02,2,741890,2,image,"used biomass, remove",,,,,,
2025,NY02,3,1.3,8,complete,good,,,,,,
2025,NY02,3,2.1,3,image,2025-07-15_T3_2.1,"app issue after plot 1, collected callibrator images using researcher mode, researcher image name and height listed ",119,,,,
2025,NY02,3,3.2,2,image,2025-07-15_T3_3.2,"app issue after plot 1, collected callibrator images using researcher mode, researcher image name and height listed ",104,,,,
2025,NY02,3,4.3,2,image,2025-07-15_T3_4.3,"app issue after plot 1, collected callibrator images using researcher mode, researcher image name and height listed ",114,,,,
2025,NY02,3,5.1,3,image,2025-07-15_T3_5.1,"app issue after plot 1, collected callibrator images using researcher mode, researcher image name and height listed ",109,,,,
2025,NY02,3,6.3,2,image,2025-07-15_T3_6.3,"app issue after plot 1, collected callibrator images using researcher mode, researcher image name and height listed ",57,,,,
2025,NY02,3,7.3,3,image,2025-07-15_T3_7.3,"app issue after plot 1, collected callibrator images using researcher mode, researcher image name and height listed ",118,,,,
2025,NY02,3,8.2,2,image,2025-07-15_T3_8.2,"app issue after plot 1, collected callibrator images using researcher mode, researcher image name and height listed ",62,,,,
2025,NY02,3,9.2,2,image,2025-07-15_T3_9.2,"app issue after plot 1, collected callibrator images using researcher mode, researcher image name and height listed ",106,,,,
2025,NY02,3,10.1,2,image,2025-07-15_T3_10.1,"app issue after plot 1, collected callibrator images using researcher mode, researcher image name and height listed ",96,,,,
2025,NY02,3,11.1,2,image,2025-07-15_T3_11.1,"app issue after plot 1, collected callibrator images using researcher mode, researcher image name and height listed ",71,,,,
2025,NY02,3,12.2,2,image,2025-07-15_T3_12.2,"app issue after plot 1, collected callibrator images using researcher mode, researcher image name and height listed ",115,,,,
2025,NY02,3,13.2,3,image,2025-07-15_T3_13.2,"app issue after plot 1, collected callibrator images using researcher mode, researcher image name and height listed ",117,,,,
2025,NY02,3,14.1,2,image,2025-07-15_T3_14.1,"app issue after plot 1, collected callibrator images using researcher mode, researcher image name and height listed ",117,,,,
2025,NY02,3,15.1,2,image,2025-07-15_T3_15.1,"app issue after plot 1, collected callibrator images using researcher mode, researcher image name and height listed ",56,,,,
2025,NY02,3,16.1,2,image,2025-07-15_T3_16.1,"app issue after plot 1, collected callibrator images using researcher mode, researcher image name and height listed ",108,,,,
2025,NY02,3,17.1,3,image,2025-07-15_T3_17.1,"app issue after plot 1, collected callibrator images using researcher mode, researcher image name and height listed ",91,,,,
2025,NY02,3,18.3,2,image,2025-07-15_T3_18.3,"app issue after plot 1, collected callibrator images using researcher mode, researcher image name and height listed ",191,,,,
2025,NY02,3,19.1,2,image,2025-07-15_T3_19.1,"app issue after plot 1, collected callibrator images using researcher mode, researcher image name and height listed ",94,,,,
2025,NY02,3,20.2,1,image,2025-07-15_T3_20.2,"app issue after plot 1, collected callibrator images using researcher mode, researcher image name and height listed ",104,,,,
2025,NY02,3,1_3,4,biomass,remove,,,,,,
2025,NY02,3,T3S5,4,biomass,remove,,,,,,
2025,NY02,10,TEST1,4,biomass,remove,,,,,,
2025,NY02,10,TEST2,4,biomass,remove,,,,,,
2025,NY02,10,TEST3,4,biomass,remove,,,,,,
2025,NY02,10,TEST6,8,biomass,remove,,,,,,